depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
3.3,5.09216,23.09224115225642,23.096890970677002,22.834697707105907,23.360432183158522,22.57270445789761,23.609604428224937
3.32,5.07997,23.24374466964344,23.24407700639358,22.97885787689133,23.515451920375025,22.71558241711381,23.753455040972828
3.34,5.04692,23.399091464885526,23.396172972294828,23.148039086180063,23.65691885989662,22.879734974783215,23.892996219109527
3.36,4.86351,23.556398769147776,23.552678933773045,23.315014532655173,23.79905928455028,23.061554177759582,24.029002577799695
3.4,5.00235,23.86989077164338,23.865892278612048,23.639285138282773,24.09263656986059,23.41266542937421,24.316535632115073
3.42,4.9303,24.02380676363064,24.021403033437313,23.81210418822232,24.242201510153215,23.603749296061235,24.448057350627398
3.44,4.97547,24.173632034628987,24.1762934165888,23.964199694081064,24.38263803236554,23.77771510572399,24.58334885720262
3.48,5.12794,24.473337274027337,24.480497935064907,24.282920385283255,24.675523443783234,24.096830473382035,24.890830513551236
3.5,4.91789,24.623242238151384,24.62730965273897,24.423770764439805,24.835909555377125,24.231066596412123,25.057487185114823
3.52,5.07116,24.761920732984997,24.772630086888626,24.558278109560593,24.99165395286814,24.36511585627727,25.217295453165214
3.54,5.26205,24.907047148332147,24.918363427776153,24.6998989495552,25.14427902085886,24.486408772501942,25.371382888698736
3.58,4.90252,25.206545829205602,25.210083695806073,24.971976247307975,25.45067167925591,24.75612703287559,25.69313778903027
3.62,4.94878,25.49432815227494,25.50344372397386,25.261154855752636,25.754036296613705,25.035160089365707,26.015636686079528
3.66,4.93698,25.786618795161644,25.801175513950387,25.551822032217153,26.040256710581087,25.361660935155864,26.342882372336422
3.7,4.98601,26.1087709128936,26.114050186447173,25.873027667656554,26.339440902172054,25.67945401772334,26.62301477779325
3.72,4.81219,26.2690075303757,26.27604354077948,26.040213211361557,26.49564726290398,25.84122911044596,26.770808237049618
3.78,4.91093,26.773747718781216,26.78320301207168,26.546209428399425,27.028972448476985,26.32620329032734,27.269926283045777
3.84,4.85841,27.30378858378288,27.304920911134193,27.078985331951056,27.52973300531621,26.865694412850818,27.764662039072103
3.86,4.63027,27.469793878091814,27.477918958849266,27.254507500292966,27.701428877943364,27.041417687965822,27.94134985170103
3.88,4.84975,27.636149696686218,27.64984951878461,27.427458545612698,27.873579713698287,27.222508366832987,28.11920187283026
3.9,4.85967,27.808285272522717,27.819720772490147,27.594742744397532,28.038613994249136,27.396290654732045,28.308845283848925
