depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
3.0,4.28,14.428002830281823,14.429112964877016,14.20829599675707,14.64727609706224,14.02433304828748,14.876009900910798
3.05,3.92,14.714988967587939,14.730720955190364,14.503349004419569,14.96108807556572,14.319980059980358,15.178464254124927
3.1,4.15,15.06254427922936,15.072904215828931,14.850287812555694,15.315780856626246,14.64760862830061,15.52041958135665
3.15,4.16,15.459772368630222,15.463314632957776,15.24379307202756,15.688070652120476,15.014687401862481,15.892868176476721
3.2,4.28,15.919726894686743,15.915802382207202,15.695418266205628,16.137935337814124,15.479991313350634,16.333691491052203
3.25,4.89,16.440939285362788,16.444208641963428,16.228113025121715,16.65475882062026,15.999758927652566,16.840358026683198
3.3,4.93,17.019321686115806,17.013168610894507,16.8008869053424,17.22229896903129,16.5926585689071,17.411019321566783
3.35,4.88,17.55919029491828,17.553602976077265,17.345457551999917,17.76347047502549,17.115662257961,17.957470961884653
3.4,4.63,18.060651254438945,18.059667190389007,17.833915590320604,18.279266561057348,17.64080448741175,18.493977895167422
3.45,4.86,18.519595326184216,18.52458431791515,18.313816768517004,18.742465440850015,18.082804159997398,18.975955320857963
3.5,4.69,18.935380535881464,18.9415895297675,18.719989407018254,19.166780154339406,18.472663626951,19.39958690346668
3.53,4.76,19.1731100558428,19.167523384446042,18.94193329894279,19.405184934623982,18.689670383549046,19.652021494658698
3.58,4.86,19.52009414795291,19.514435686108,19.25973831302358,19.760295948156767,19.01274987382099,20.059604504039026
3.63,4.81,19.83519596190856,19.83552362044221,19.56271911792935,20.110253713912346,19.295190078592995,20.448122654267692
3.68,4.85,20.13296189801745,20.140151029177506,19.848683181728077,20.442934311760833,19.568277506172382,20.74330802120312
3.73,4.85,20.428108775699464,20.433948847955413,20.131107804803708,20.753739443499395,19.861954170642413,21.046566439074876
3.78,4.82,20.718480648541693,20.722626785560674,20.395190219498904,21.041186191584988,20.12635150256327,21.348580267094967
3.83,4.81,21.014749949528543,21.01559077951582,20.68673714048102,21.335270306518705,20.441507373502887,21.631817848737647
3.88,4.75,21.323588714552805,21.323246925177802,21.011066200999096,21.630438765607956,20.748553335285926,21.924580069680005
3.94,4.77,21.72103379729298,21.71689212522404,21.4214597458067,22.001744468163455,21.154785111559047,22.282039734643732
3.98,4.74,22.003662077714992,22.00035368330685,21.72605717593271,22.259550549336613,21.467078610114168,22.54085348780605
4.01,4.73,22.23188861829869,22.226135975310513,21.959520454773116,22.47678054267659,21.727575637359415,22.759625007763628
4.06,4.6,22.63139264069526,22.629765032864164,22.397020574291677,22.87468336788645,22.17399829190511,23.126237224493632
4.11,4.39,23.053155722369972,23.058913721758543,22.836023982588134,23.30528775756967,22.588130286157966,23.539675147134634
4.16,4.53,23.49959773855798,23.503002368585072,23.242157440867516,23.766183123058713,22.969017227554286,24.04779966383188
4.21,4.58,23.95615761454203,23.956743000950596,23.637790661759038,24.268260680641486,23.34090171792478,24.58680225291558
4.26,4.55,24.406344129936205,24.411150761424935,24.058157690051434,24.78291306534568,23.66793979172986,25.153892741297483
4.31,4.64,24.854161775597717,24.857273856136775,24.47343455611004,25.266361226654446,24.00501535080323,25.73259914714116
4.36,4.6,25.305987127670083,25.29596053780352,24.861350218457922,25.742287165960136,24.34132647065304,26.21910862015093
4.41,4.52,25.737405572572946,25.725538649595862,25.26245452582938,26.192208420190145,24.663386273688968,26.732502420027973
4.6,4.38,27.2202006024809,27.215215020066534,26.698413597527107,27.73635625892656,26.035744939853394,28.231014796749676
4.65,4.56,27.55528428610105,27.556638054865616,27.043052894795405,28.07674756925762,26.441970028093003,28.598713690363578
4.7,4.42,27.8622726079957,27.87301627358105,27.367946522135995,28.38698240838973,26.81645337500887,29.027279493864185
4.75,4.52,28.130008878125306,28.160965013336455,27.65582457848224,28.64644090904284,27.178603461896294,29.410502654994865
4.8,4.39,28.388317061766855,28.423285483311783,27.920210411419273,28.894019872691413,27.47200939137595,29.744480383319107
4.85,4.4,28.636855542669586,28.673248161584226,28.17819561917994,29.12092393451707,27.721357372476387,30.014964387455244
4.9,4.21,28.86064583367388,28.914360020592504,28.431550912666673,29.361294277661905,27.99049998636815,30.241606079708987
4.95,4.2,29.06519611266325,29.147200906365974,28.651109866325186,29.6787571512279,28.212770452198534,30.485018785269013
5.0,4.26,29.2676520536872,29.37668034589584,28.85733254489468,29.97260519910207,28.406028972100746,30.699813048201683
5.04,4.16,29.45218321473758,29.55873076964271,29.01203354354616,30.21377687871856,28.550025819886127,30.86799532551714
5.09,4.33,29.67430190579626,29.780878658493005,29.171294349717336,30.494728680759863,28.75384718889181,31.13771952870612
5.14,4.36,29.889376292070956,29.99335329361352,29.35628743063282,30.741168440033807,28.93822775013229,31.33129107003601
5.19,4.43,30.110004839365892,30.198289379668843,29.515787137556828,30.936310946748524,29.128650413985955,31.558532884563636
5.24,4.38,30.34669880353332,30.397910748720534,29.698014388208676,31.144903986047282,29.267983105668893,31.771180179423872
5.29,4.39,30.55994645823796,30.593257479001707,29.845490648600865,31.318651355300286,29.41665922215938,31.93136223974399
5.34,4.49,30.778887382829488,30.779328346517264,30.032084779353767,31.5123061549648,29.543859870635433,32.11319132945043
5.39,4.54,30.96702451844847,30.95504859159978,30.183231814152904,31.682107867788638,29.65318833822607,32.26532233722266
5.44,4.48,31.126540831660275,31.11862193284591,30.357416990020948,31.859632398925935,29.748530410087906,32.38047837671537
5.49,4.35,31.275074764550418,31.27783555264382,30.515867179411575,32.00413640447226,29.883677766503478,32.53954369187602
5.53,4.41,31.398859121762083,31.401181777318897,30.664859811918593,32.12578077704931,29.97084922487772,32.66789976131584
5.58,4.37,31.56680682144854,31.54761047200392,30.854841952174937,32.24734449253438,30.107815423077145,32.78543694998128
5.63,4.44,31.717713803268104,31.686064469751745,31.00793916888928,32.37309096617407,30.2086126740905,32.93015259870513
5.68,4.43,31.828235494735413,31.815837636344675,31.16242328817091,32.48259198513889,30.35764883119041,33.052539220982936
5.73,4.42,31.953756234480615,31.9400188167313,31.303181004053865,32.59548502295352,30.52678117675075,33.14014584269902
5.78,4.32,32.07399839204087,32.05854077996789,31.431247838600484,32.70457793652181,30.700996622791525,33.22219341746835
5.83,4.36,32.1838162876019,32.171811094474414,31.56594232591659,32.79668536999436,30.857621284178855,33.28632235594827
5.88,4.46,32.30688334229917,32.28493288871864,31.696231622664012,32.893810044048195,31.026047285774528,33.38516456973511
5.93,4.39,32.41871165966474,32.397080557592496,31.805682645364058,32.989939204906726,31.154787957783896,33.51176892180186
6.0,4.47,32.56422419780881,32.55267850613736,31.968772214990512,33.14195654962384,31.343921659625416,33.63904310993515
6.05,4.45,32.67056203027073,32.667467202810236,32.10159213918647,33.25310881891729,31.457687336943078,33.834570249367616
6.1,4.35,32.78314293910857,32.78604781533375,32.208016309960705,33.39292190587604,31.580021189723993,33.9355635492845
6.15,4.4,32.913084926632436,32.90690733413855,32.32945700755139,33.54280004011749,31.66453462732378,34.13327351923209
6.2,4.4,33.0201055359716,33.03299490110784,32.47181124939816,33.65537760955386,31.784617307810148,34.28972938436086
6.25,4.58,33.14122875799009,33.16997016101965,32.59594257687941,33.7991811594712,31.84144843399261,34.42194340545461
6.3,4.45,33.29867764504458,33.32276178375102,32.74910834824018,33.978771890348135,32.02330643842651,34.545576308876576
6.35,4.39,33.489472172237484,33.48909686057162,32.86838280340743,34.16611261820493,32.159302912720335,34.728984664487335
